# Deterministic DHW/gas-cooking reference constants -- single point of
# configuration, mirroring occupancy's households/data/dhw_tapping_categories.csv
# pattern. Loaded by buem.config.reference_values.load_dhw_cooking_constants().
# Generated by scripts/extract_dhw_reference_values.py -- re-run that script to
# regenerate the EN-12831-3-sourced rows from the source workbook; other rows
# (CBS shares, calorific value, boiler efficiency, the legacy NTA 8800 figure) are
# independently-documented constants the script also writes, not workbook reads --
# see the script's own docstring for exactly which is which. Hand-editing any
# value directly in this file is supported and expected -- update the `source`
# column too if you do, so provenance stays honest.
name,value,unit,source
WATER_DENSITY_KG_PER_L,1.0,kg/L,"Standard approximation, close enough across DHW temperature range"
WATER_SPECIFIC_HEAT_KJ_PER_KGK,4.186,kJ/(kg*K),Standard textbook value
DHW_DELTA_T_K,30.8,K,"EN 12831-3:2017 (via EPB Center's free Demo_EN_12831-3_DHW_needs_2021-09-02.xlsx, Method_input sheet): real operating-conditions delivery/cold-mains temperatures (42.0C - 11.2C)"
DHW_DELTA_T_K_REFERENCE,46.5,K,"EN 12831-3:2017 (via EPB Center's free Demo_EN_12831-3_DHW_needs_2021-09-02.xlsx, Method_input sheet): reference-need-normalization temperatures (60.0C - 13.5C), distinct from the real operating-conditions pair above"
DHW_DELIVERY_T_BASIN_C,38.0,degC,"Delivery temperature at a wash basin. occupancy resolves DHW draws per fixture and each is delivered at its own temperature, so applying one blended figure to the total overstates the cooler draws. EN 806 / DHWcalc tapping-point practice."
DHW_DELIVERY_T_KITCHEN_SINK_C,50.0,degC,"Delivery temperature at a kitchen sink -- the hottest domestic draw, for washing up. EN 806 / DHWcalc tapping-point practice."
DHW_DELIVERY_T_SHOWER_C,40.0,degC,"Delivery temperature at a shower. EN 806 / DHWcalc tapping-point practice."
DHW_DELIVERY_T_BATH_C,40.0,degC,"Delivery temperature at a bath. EN 806 / DHWcalc tapping-point practice."
DHW_COLD_MAINS_T_C,11.2,degC,"Cold-mains inlet temperature, the reference all per-fixture delivery temperatures above are differenced against. EN 12831-3:2017 operating conditions, and the same value implied by DHW_DELTA_T_K."
DHW_LITERS_PER_PERSON_DAY_EN12831_3,55.0,L/person/day,"EN 12831-3:2017 (via EPB Center's free Demo_EN_12831-3_DHW_needs_2021-09-02.xlsx, Method_input sheet): Annex Table B.5, single family dwellings AVG"
DHW_ANNUAL_KWH_PER_PERSON_NTA8800,545.0,kWh/person/year,"NTA 8800 secondary citation (WebSearch, 2026-08-17) -- kept for reference only, NOT the default: fails its own internal-consistency check against the separately-cited 40.3 L/person/day figure (see dhw_cooking.py docstring)"
SPACE_HEATING_SHARE_OF_GAS,0.78,fraction,CBS 2016 national household gas breakdown (heating/DHW/cooking)
DHW_SHARE_OF_GAS,0.2,fraction,CBS 2016 national household gas breakdown (heating/DHW/cooking)
COOKING_SHARE_OF_GAS,0.02,fraction,CBS 2016 national household gas breakdown (heating/DHW/cooking)
COOKING_HEAT_GAIN_FRACTION,0.5,fraction,"Share of cooking energy input that ends up as internal heat gain in the dwelling. Cooking is strongly exothermic and its energy cannot all be captured by the food: the remainder leaves as sensible and latent heat. Only part of that reaches the zone -- an extraction hood removes much of it, and energy stored in the food leaves the balance when the food is eaten or cools elsewhere. 0.5 is a documented mid-range assumption for a dwelling with intermittent extraction, not a measured constant; raise it toward 1.0 for cooking without extraction, lower it for continuous mechanical extraction."
DHW_HEAT_RECOVERY_FRACTION,0.0,fraction,"Share of domestic-hot-water energy recovered back into the dwelling as internal gain -- hot water standing in a sink or bath giving up its heat to the room rather than leaving down the drain. A real but small effect, and one whose size depends on drain-water heat recovery and on how long water stands before draining. Default 0.0 means not credited: the mechanism is parameterised so it can be explored, not assumed."
COOKING_ANNUAL_KWH_PER_HOUSEHOLD,225.0,kWh/household/year,"Useful cooking energy for one household-year, distributed across occupancy's own cooking_active hours. Derived from CBS's 2% cooking share of a ~1270 m3/yr average Dutch household gas use, at the calorific value and boiler efficiency in this same file (1270*0.02*9.769*0.9). Replaces the earlier practice of deriving cooking energy from the building's own simulated heating demand, which made a cooking figure inherit any heating error. Regional: override for a stock with different gas-vs-electric hob prevalence."
GAS_CALORIFIC_VALUE_KWH_PER_M3,9.769,kWh/m3,Gasunie/CBS Slochteren G-gas upper calorific value standard (35.17 MJ/m3)
BOILER_EFFICIENCY_UPPER_VALUE,0.9,fraction,"Typical modern HR (condensing) boiler assumption, round starting value"
