# Occupants per dwelling, by building type and (optionally) region.
#
# Single point of configuration for buem's num_persons default, mirroring
# dhw_cooking_constants.csv's pattern. Loaded by
# buem.config.reference_values.load_num_persons_table(); resolved by
# resolve_num_persons(), which is what AttributeBuilder consults when a
# request supplies no explicit num_persons of its own.
#
# Resolution is most-specific-wins, in this order:
#   1. exact (country, region_code, building_type)
#   2. (country, *, building_type)          -- country-wide default
#   3. (*, *, building_type)                -- generic per-type fallback
#   4. building_registry.DEFAULT_NUM_PERSONS -- flat scalar, last resort
# so a country or region only needs rows where it actually differs from
# the generic figure. `*` means "any" in either key column.
#
# Hand-editing is supported and expected -- this file is the editable
# source of truth, not a generated artifact. Update the `source` column
# too if you change a value, so provenance stays honest. The NL rows are
# regenerated by scripts/refresh_nl_num_persons.py from live CBS queries;
# anything you hand-edit there will be overwritten by that script, so
# prefer adding a new region row over editing an existing one.
#
# building_type values are buem's own TABULA-style classes. Service
# building types take no row: their occupancy is driven by `capacity`,
# not num_persons.
country,region_code,building_type,num_persons,source
*,*,SFH,2.6,"Generic fallback. Detached/semi-detached households run larger than the all-dwelling average in most European stock; no single international source, so this is a documented default to be overridden per country."
*,*,TH,2.4,"Generic fallback, as SFH above."
*,*,MFH,1.9,"Generic fallback, as SFH above."
*,*,AB,1.7,"Generic fallback, as SFH above."
NL,*,SFH,2.55,"CBS 85035NED + 86064NED + 85140NED, persons in private households per dwelling in stock, national, 2024/2025. See buem.analysis.netherlands.cbs_household_size."
NL,*,TH,2.41,"CBS 85035NED + 86064NED + 85140NED, national, 2024/2025."
NL,*,MFH,1.54,"CBS 85035NED + 86064NED, national meergezins anchor, 2024/2025. CBS publishes no MFH/AB split."
NL,*,AB,1.54,"CBS 85035NED + 86064NED, national meergezins anchor, 2024/2025. CBS publishes no MFH/AB split."
NL,GM0200,SFH,2.55,"CBS, Apeldoorn (contains Loenen), 2024/2025."
NL,GM0200,TH,2.41,"CBS, Apeldoorn (contains Loenen), 2024/2025."
NL,GM0200,MFH,1.37,"CBS, Apeldoorn (contains Loenen), 2024/2025. Meergezins anchor; no MFH/AB split."
NL,GM0200,AB,1.37,"CBS, Apeldoorn (contains Loenen), 2024/2025. Meergezins anchor; no MFH/AB split."
NL,GM0177,SFH,2.47,"CBS, Raalte (contains Heeten), 2024/2025."
NL,GM0177,TH,2.33,"CBS, Raalte (contains Heeten), 2024/2025."
NL,GM0177,MFH,1.28,"CBS, Raalte (contains Heeten), 2024/2025. Meergezins anchor; no MFH/AB split."
NL,GM0177,AB,1.28,"CBS, Raalte (contains Heeten), 2024/2025. Meergezins anchor; no MFH/AB split."
